lat,long
83.02890317,-77.23768799
83.02890317,-76.3393727
83.02890317,-75.44105742
83.02890317,-74.54274213
83.02890317,-72.74611156
83.02890317,-71.84779628
83.02890317,-70.949481
83.02890317,-70.05116571
82.91902314,-79.93263384
82.91902314,-76.3393727
82.91902314,-75.44105742
82.91902314,-74.54274213
82.91902314,-72.74611156
82.91902314,-71.84779628
82.91902314,-70.05116571
82.91902314,-69.15285043
82.91902314,-68.25453514
82.91902314,-67.35621986
82.91902314,-66.45790458
82.80742013,-80.83094912
82.80742013,-79.93263384
82.80742013,-79.03431855
82.80742013,-78.13600327
82.80742013,-77.23768799
82.80742013,-76.3393727
82.80742013,-75.44105742
82.80742013,-74.54274213
82.80742013,-73.64442685
82.80742013,-72.74611156
82.80742013,-71.84779628
82.80742013,-70.949481
82.80742013,-70.05116571
82.80742013,-69.15285043
82.80742013,-68.25453514
82.80742013,-67.35621986
82.80742013,-65.55958929
82.80742013,-64.66127401
82.80742013,-63.76295872
82.69406754,-80.83094912
82.69406754,-79.93263384
82.69406754,-79.03431855
82.69406754,-78.13600327
82.69406754,-77.23768799
82.69406754,-75.44105742
82.69406754,-74.54274213
82.69406754,-73.64442685
82.69406754,-72.74611156
82.69406754,-71.84779628
82.69406754,-70.949481
82.69406754,-70.05116571
82.69406754,-69.15285043
82.69406754,-68.25453514
82.69406754,-66.45790458
82.69406754,-65.55958929
82.69406754,-64.66127401
82.69406754,-63.76295872
82.57893839,-81.72926441
82.57893839,-79.93263384
82.57893839,-79.03431855
82.57893839,-78.13600327
82.57893839,-77.23768799
82.57893839,-76.3393727
82.57893839,-75.44105742
82.57893839,-74.54274213
82.57893839,-73.64442685
82.57893839,-72.74611156
82.57893839,-71.84779628
82.57893839,-70.949481
82.57893839,-70.05116571
82.57893839,-69.15285043
82.57893839,-68.25453514
82.57893839,-67.35621986
82.57893839,-66.45790458
82.57893839,-65.55958929
82.57893839,-64.66127401
82.57893839,-63.76295872
82.46200533,-85.32252554
82.46200533,-81.72926441
82.46200533,-80.83094912
82.46200533,-79.93263384
82.46200533,-79.03431855
82.46200533,-78.13600327
82.46200533,-77.23768799
82.46200533,-76.3393727
82.46200533,-75.44105742
82.46200533,-74.54274213
82.46200533,-73.64442685
82.46200533,-72.74611156
82.46200533,-71.84779628
82.46200533,-70.949481
82.46200533,-70.05116571
82.46200533,-69.15285043
82.46200533,-68.25453514
82.46200533,-67.35621986
82.46200533,-66.45790458
82.46200533,-65.55958929
82.46200533,-64.66127401
82.46200533,-63.76295872
82.46200533,-62.86464344
82.46200533,-61.96632816
82.34324056,-85.32252554
82.34324056,-84.42421026
82.34324056,-81.72926441
82.34324056,-80.83094912
82.34324056,-79.93263384
82.34324056,-79.03431855
82.34324056,-78.13600327
82.34324056,-77.23768799
82.34324056,-76.3393727
82.34324056,-75.44105742
82.34324056,-74.54274213
82.34324056,-73.64442685
82.34324056,-72.74611156
82.34324056,-71.84779628
82.34324056,-70.949481
82.34324056,-70.05116571
82.34324056,-69.15285043
82.34324056,-68.25453514
82.34324056,-67.35621986
82.34324056,-66.45790458
82.34324056,-65.55958929
82.34324056,-64.66127401
82.34324056,-63.76295872
82.34324056,-62.86464344
82.34324056,-61.96632816
82.22261593,-86.22084083
82.22261593,-85.32252554
82.22261593,-84.42421026
82.22261593,-83.52589497
82.22261593,-82.62757969
82.22261593,-81.72926441
82.22261593,-80.83094912
82.22261593,-79.93263384
82.22261593,-79.03431855
82.22261593,-78.13600327
82.22261593,-77.23768799
82.22261593,-76.3393727
82.22261593,-75.44105742
82.22261593,-74.54274213
82.22261593,-73.64442685
82.22261593,-72.74611156
82.22261593,-71.84779628
82.22261593,-70.949481
82.22261593,-70.05116571
82.22261593,-69.15285043
82.22261593,-68.25453514
82.22261593,-67.35621986
82.22261593,-66.45790458
82.22261593,-65.55958929
82.22261593,-64.66127401
82.22261593,-63.76295872
82.22261593,-62.86464344
82.22261593,-61.96632816
82.10010285,-88.01747139
82.10010285,-86.22084083
82.10010285,-85.32252554
82.10010285,-84.42421026
82.10010285,-83.52589497
82.10010285,-82.62757969
82.10010285,-81.72926441
82.10010285,-80.83094912
82.10010285,-79.93263384
82.10010285,-79.03431855
82.10010285,-78.13600327
82.10010285,-77.23768799
82.10010285,-76.3393727
82.10010285,-75.44105742
82.10010285,-74.54274213
82.10010285,-73.64442685
82.10010285,-72.74611156
82.10010285,-71.84779628
82.10010285,-70.949481
82.10010285,-70.05116571
82.10010285,-69.15285043
82.10010285,-68.25453514
82.10010285,-67.35621986
82.10010285,-66.45790458
82.10010285,-65.55958929
82.10010285,-64.66127401
82.10010285,-63.76295872
82.10010285,-62.86464344
82.10010285,-61.96632816
81.97567232,-88.91578668
81.97567232,-88.01747139
81.97567232,-86.22084083
81.97567232,-85.32252554
81.97567232,-84.42421026
81.97567232,-83.52589497
81.97567232,-82.62757969
81.97567232,-81.72926441
81.97567232,-80.83094912
81.97567232,-79.03431855
81.97567232,-78.13600327
81.97567232,-77.23768799
81.97567232,-76.3393727
81.97567232,-75.44105742
81.97567232,-74.54274213
81.97567232,-73.64442685
81.97567232,-72.74611156
81.97567232,-71.84779628
81.97567232,-70.949481
81.97567232,-70.05116571
81.97567232,-69.15285043
81.97567232,-68.25453514
81.97567232,-67.35621986
81.97567232,-66.45790458
81.97567232,-65.55958929
81.97567232,-64.66127401
81.97567232,-63.76295872
81.97567232,-62.86464344
81.84929493,-89.81410196
81.84929493,-88.91578668
81.84929493,-88.01747139
81.84929493,-87.11915611
81.84929493,-86.22084083
81.84929493,-85.32252554
81.84929493,-84.42421026
81.84929493,-83.52589497
81.84929493,-82.62757969
81.84929493,-81.72926441
81.84929493,-80.83094912
81.84929493,-79.93263384
81.84929493,-79.03431855
81.84929493,-78.13600327
81.84929493,-77.23768799
81.84929493,-76.3393727
81.84929493,-75.44105742
81.84929493,-74.54274213
81.84929493,-73.64442685
81.84929493,-72.74611156
81.84929493,-71.84779628
81.84929493,-70.949481
81.84929493,-70.05116571
81.84929493,-69.15285043
81.84929493,-68.25453514
81.84929493,-67.35621986
81.84929493,-66.45790458
81.84929493,-65.55958929
81.84929493,-64.66127401
81.84929493,-63.76295872
81.72094084,-91.61073253
81.72094084,-90.71241725
81.72094084,-89.81410196
81.72094084,-88.91578668
81.72094084,-88.01747139
81.72094084,-87.11915611
81.72094084,-86.22084083
81.72094084,-85.32252554
81.72094084,-84.42421026
81.72094084,-83.52589497
81.72094084,-82.62757969
81.72094084,-81.72926441
81.72094084,-80.83094912
81.72094084,-79.93263384
81.72094084,-79.03431855
81.72094084,-78.13600327
81.72094084,-77.23768799
81.72094084,-76.3393727
81.72094084,-75.44105742
81.72094084,-74.54274213
81.72094084,-73.64442685
81.72094084,-72.74611156
81.72094084,-71.84779628
81.72094084,-70.949481
81.72094084,-70.05116571
81.72094084,-69.15285043
81.72094084,-68.25453514
81.72094084,-67.35621986
81.72094084,-66.45790458
81.72094084,-65.55958929
81.59057979,-89.81410196
81.59057979,-88.91578668
81.59057979,-88.01747139
81.59057979,-87.11915611
81.59057979,-86.22084083
81.59057979,-85.32252554
81.59057979,-84.42421026
81.59057979,-83.52589497
81.59057979,-82.62757969
81.59057979,-81.72926441
81.59057979,-80.83094912
81.59057979,-79.93263384
81.59057979,-79.03431855
81.59057979,-78.13600327
81.59057979,-77.23768799
81.59057979,-76.3393727
81.59057979,-75.44105742
81.59057979,-74.54274213
81.59057979,-73.64442685
81.59057979,-72.74611156
81.59057979,-71.84779628
81.59057979,-70.949481
81.59057979,-70.05116571
81.59057979,-69.15285043
81.59057979,-68.25453514
81.45818108,-90.71241725
81.45818108,-89.81410196
81.45818108,-88.01747139
81.45818108,-87.11915611
81.45818108,-86.22084083
81.45818108,-85.32252554
81.45818108,-84.42421026
81.45818108,-83.52589497
81.45818108,-82.62757969
81.45818108,-81.72926441
81.45818108,-80.83094912
81.45818108,-79.93263384
81.45818108,-79.03431855
81.45818108,-78.13600327
81.45818108,-77.23768799
81.45818108,-76.3393727
81.45818108,-75.44105742
81.45818108,-74.54274213
81.45818108,-73.64442685
81.45818108,-72.74611156
81.45818108,-71.84779628
81.45818108,-70.949481
81.45818108,-70.05116571
81.45818108,-69.15285043
81.45818108,-68.25453514
81.45818108,-67.35621986
81.45818108,-65.55958929
81.45818108,-64.66127401
81.32371359,-93.4073631
81.32371359,-89.81410196
81.32371359,-88.91578668
81.32371359,-88.01747139
