Lat,Lon,Alt (m)
81.72094084,-78.13600327,1500
81.72094084,-77.23768799,1479
81.72094084,-76.3393727,724
81.72094084,-75.44105742,1191
81.72094084,-74.54274213,1282
81.72094084,-73.64442685,596
81.72094084,-72.74611156,378
81.72094084,-71.84779628,154
81.72094084,-70.949481,322
81.72094084,-70.05116571,277
81.72094084,-69.15285043,357
81.72094084,-68.25453514,439
81.72094084,-67.35621986,597
81.72094084,-66.45790458,20
81.72094084,-65.55958929,282
81.59057979,-89.81410196,119
81.59057979,-88.91578668,302
81.59057979,-88.01747139,56
81.59057979,-87.11915611,252
81.59057979,-86.22084083,521
81.59057979,-85.32252554,694
81.59057979,-84.42421026,911
81.59057979,-83.52589497,1273
81.59057979,-82.62757969,1207
81.59057979,-81.72926441,1586
81.59057979,-80.83094912,1605
81.59057979,-79.93263384,1819
81.59057979,-79.03431855,1479
81.59057979,-78.13600327,1392
81.59057979,-77.23768799,1536
81.59057979,-76.3393727,1462
81.59057979,-75.44105742,1034
81.59057979,-74.54274213,1204
81.59057979,-73.64442685,269
81.59057979,-72.74611156,601
81.59057979,-71.84779628,641
81.59057979,-70.949481,422
81.59057979,-70.05116571,615
81.59057979,-69.15285043,320
81.59057979,-68.25453514,770
81.45818108,-90.71241725,25
81.45818108,-89.81410196,95
81.45818108,-88.01747139,483
81.45818108,-87.11915611,397
81.45818108,-86.22084083,314
81.45818108,-85.32252554,724
81.45818108,-84.42421026,371
81.45818108,-83.52589497,1049
81.45818108,-82.62757969,1068
81.45818108,-81.72926441,1563
81.45818108,-80.83094912,1690
81.45818108,-79.93263384,1380
81.45818108,-79.03431855,1582
81.45818108,-78.13600327,1376
81.45818108,-77.23768799,1187
81.45818108,-76.3393727,519
81.45818108,-75.44105742,724
81.45818108,-74.54274213,908
81.45818108,-73.64442685,632
81.45818108,-72.74611156,799
81.45818108,-71.84779628,761
81.45818108,-70.949481,707
81.45818108,-70.05116571,516
81.45818108,-69.15285043,878
81.45818108,-68.25453514,725
81.45818108,-67.35621986,644
81.45818108,-65.55958929,327
81.45818108,-64.66127401,772
81.32371359,-93.4073631,47
81.32371359,-89.81410196,106
81.32371359,-88.91578668,382
81.32371359,-88.01747139,453
81.32371359,-87.11915611,591
81.32371359,-86.22084083,981
81.32371359,-85.32252554,619
81.32371359,-84.42421026,234
81.32371359,-83.52589497,1095
81.32371359,-82.62757969,1511
81.32371359,-81.72926441,1264
81.32371359,-80.83094912,1422
81.32371359,-79.93263384,807
81.32371359,-79.03431855,1415
81.32371359,-78.13600327,285
81.32371359,-77.23768799,488
81.32371359,-76.3393727,962
81.32371359,-75.44105742,867
81.32371359,-74.54274213,771
81.32371359,-73.64442685,841
81.32371359,-72.74611156,883
81.32371359,-71.84779628,804
81.32371359,-70.949481,103
81.32371359,-70.05116571,687
81.32371359,-69.15285043,928
81.32371359,-67.35621986,920
81.32371359,-66.45790458,446
81.32371359,-65.55958929,259
81.18714573,-92.50904782,95
81.18714573,-89.81410196,97
81.18714573,-88.91578668,366
81.18714573,-88.01747139,270
81.18714573,-87.11915611,238
81.18714573,-86.22084083,355
81.18714573,-85.32252554,263
81.18714573,-84.42421026,875
81.18714573,-83.52589497,880
81.18714573,-82.62757969,599
81.18714573,-81.72926441,211
81.18714573,-80.83094912,1186
81.18714573,-79.93263384,1140
81.18714573,-79.03431855,1145
81.18714573,-78.13600327,35
81.18714573,-77.23768799,947
81.18714573,-76.3393727,710
81.18714573,-75.44105742,941
81.18714573,-74.54274213,635
81.18714573,-73.64442685,733
81.18714573,-72.74611156,377
81.18714573,-71.84779628,643
81.18714573,-70.949481,935
81.18714573,-70.05116571,931
81.18714573,-69.15285043,64
81.18714573,-68.25453514,1142
81.18714573,-67.35621986,514
81.18714573,-66.45790458,616
81.04844549,-94.30567838,6
81.04844549,-93.4073631,60
81.04844549,-92.50904782,89
81.04844549,-89.81410196,309
81.04844549,-88.91578668,78
81.04844549,-86.22084083,240
81.04844549,-83.52589497,652
81.04844549,-82.62757969,987
81.04844549,-81.72926441,742
81.04844549,-80.83094912,1241
81.04844549,-79.93263384,897
81.04844549,-78.13600327,276
81.04844549,-77.23768799,672
81.04844549,-76.3393727,624
81.04844549,-75.44105742,736
81.04844549,-74.54274213,599
81.04844549,-73.64442685,1008
81.04844549,-72.74611156,1068
81.04844549,-71.84779628,763
81.04844549,-70.949481,722
81.04844549,-70.05116571,271
81.04844549,-69.15285043,993
81.04844549,-68.25453514,776
81.04844549,-67.35621986,746
80.9075804,-95.20399367,107
80.9075804,-94.30567838,277
80.9075804,-93.4073631,191
80.9075804,-92.50904782,696
80.9075804,-91.61073253,106
80.9075804,-88.91578668,469
80.9075804,-88.01747139,373
80.9075804,-87.11915611,387
80.9075804,-85.32252554,517
80.9075804,-84.42421026,733
80.9075804,-83.52589497,789
80.9075804,-82.62757969,797
80.9075804,-81.72926441,151
80.9075804,-80.83094912,154
80.9075804,-79.93263384,723
80.9075804,-78.13600327,378
80.9075804,-77.23768799,114
80.9075804,-76.3393727,40
80.9075804,-75.44105742,691
80.9075804,-74.54274213,1131
80.9075804,-73.64442685,1409
80.9075804,-72.74611156,1447
80.9075804,-71.84779628,1175
80.9075804,-70.949481,565
80.9075804,-70.05116571,1382
80.9075804,-69.15285043,1022
80.9075804,-68.25453514,741
80.76451753,-94.30567838,282
80.76451753,-93.4073631,179
80.76451753,-92.50904782,552
80.76451753,-91.61073253,258
80.76451753,-88.01747139,398
80.76451753,-87.11915611,539
80.76451753,-86.22084083,466
80.76451753,-85.32252554,760
80.76451753,-84.42421026,352
80.76451753,-82.62757969,318
80.76451753,-81.72926441,331
80.76451753,-80.83094912,793
80.76451753,-78.13600327,475
80.76451753,-77.23768799,698
80.76451753,-76.3393727,317
80.76451753,-75.44105742,1095
80.76451753,-74.54274213,1482
80.76451753,-73.64442685,1740
80.76451753,-72.74611156,1691
80.76451753,-71.84779628,1173
80.76451753,-70.949481,1243
80.76451753,-70.05116571,1493
80.76451753,-69.15285043,600
80.76451753,-68.25453514,148
80.6192235,-95.20399367,120
80.6192235,-94.30567838,184
80.6192235,-93.4073631,216
80.6192235,-92.50904782,363
80.6192235,-91.61073253,442
80.6192235,-90.71241725,129
80.6192235,-86.22084083,435
80.6192235,-85.32252554,352
80.6192235,-84.42421026,704
80.6192235,-82.62757969,402
80.6192235,-81.72926441,533
80.6192235,-79.03431855,9
80.6192235,-78.13600327,372
80.6192235,-77.23768799,1088
80.6192235,-76.3393727,1155
80.6192235,-75.44105742,1153
80.6192235,-74.54274213,1645
80.6192235,-73.64442685,1652
80.6192235,-72.74611156,1204
80.6192235,-71.84779628,704
80.6192235,-70.949481,1358
80.6192235,-70.05116571,873
80.6192235,-69.15285043,305
80.47166447,-95.20399367,530
80.47166447,-94.30567838,441
80.47166447,-93.4073631,799
80.47166447,-92.50904782,1057
80.47166447,-91.61073253,609
80.47166447,-90.71241725,58
80.47166447,-89.81410196,20
80.47166447,-79.93263384,169
80.47166447,-79.03431855,489
80.47166447,-78.13600327,936
80.47166447,-77.23768799,1138
80.47166447,-76.3393727,1332
80.47166447,-75.44105742,1621
80.47166447,-74.54274213,1670
80.47166447,-73.64442685,1684
80.47166447,-72.74611156,1429
80.47166447,-71.84779628,907
80.47166447,-70.949481,644
80.47166447,-70.05116571,688
80.32180611,-96.10230895,17
80.32180611,-95.20399367,270
80.32180611,-94.30567838,654
80.32180611,-93.4073631,803
80.32180611,-92.50904782,1024
80.32180611,-91.61073253,799
80.32180611,-90.71241725,495
80.32180611,-89.81410196,229
80.32180611,-88.01747139,216
80.32180611,-86.22084083,1
80.32180611,-82.62757969,103
80.32180611,-81.72926441,84
80.32180611,-80.83094912,429
80.32180611,-79.93263384,564
80.32180611,-79.03431855,731
80.32180611,-78.13600327,1250
80.32180611,-77.23768799,1305
80.32180611,-76.3393727,1454
80.32180611,-75.44105742,1865
80.32180611,-74.54274213,1752
80.32180611,-73.64442685,967
80.32180611,-72.74611156,1144
80.32180611,-71.84779628,908
80.32180611,-70.949481,453
80.16961365,-95.20399367,389
80.16961365,-93.4073631,413
80.16961365,-92.50904782,1067
80.16961365,-91.61073253,1029
80.16961365,-90.71241725,673
80.16961365,-89.81410196,423
80.16961365,-88.91578668,9
80.16961365,-88.01747139,60
80.16961365,-86.22084083,431
80.16961365,-85.32252554,101
80.16961365,-84.42421026,150
80.16961365,-83.52589497,123
80.16961365,-82.62757969,79
80.16961365,-81.72926441,355
80.16961365,-80.83094912,480
80.16961365,-79.93263384,1148
80.16961365,-79.03431855,1381
80.16961365,-78.13600327,1736
80.16961365,-77.23768799,1961
80.16961365,-76.3393727,1693
80.16961365,-75.44105742,1315
80.16961365,-74.54274213,1442
80.16961365,-73.64442685,1227
80.16961365,-72.74611156,756
80.16961365,-71.84779628,282
80.01505181,-99.69557009,31
80.01505181,-98.7972548,5
80.01505181,-96.10230895,83
80.01505181,-95.20399367,188
80.01505181,-94.30567838,650
80.01505181,-93.4073631,645
80.01505181,-92.50904782,1701
80.01505181,-91.61073253,1475
80.01505181,-90.71241725,1200
80.01505181,-89.81410196,445
80.01505181,-88.91578668,212
80.01505181,-88.01747139,38
80.01505181,-86.22084083,89
80.01505181,-85.32252554,421
80.01505181,-84.42421026,91
80.01505181,-83.52589497,172
80.01505181,-81.72926441,335
80.01505181,-80.83094912,739
80.01505181,-79.93263384,1308
80.01505181,-79.03431855,1610
80.01505181,-78.13600327,1431
80.01505181,-77.23768799,1745
80.01505181,-76.3393727,1261
80.01505181,-75.44105742,1438
80.01505181,-74.54274213,409
80.01505181,-73.64442685,1146
80.01505181,-72.74611156,874
80.01505181,-71.84779628,503
80.01505181,-70.949481,715
79.85808485,-98.7972548,21
79.85808485,-96.10230895,93
79.85808485,-95.20399367,386
79.85808485,-94.30567838,174
79.85808485,-93.4073631,644
79.85808485,-92.50904782,1405
79.85808485,-91.61073253,1807
79.85808485,-90.71241725,1363
79.85808485,-89.81410196,613
79.85808485,-88.91578668,338
79.85808485,-88.01747139,191
79.85808485,-87.11915611,346
79.85808485,-86.22084083,535
79.85808485,-85.32252554,73
79.85808485,-84.42421026,127
79.85808485,-83.52589497,220
79.85808485,-82.62757969,1123
79.85808485,-80.83094912,969
79.85808485,-79.93263384,1117
79.85808485,-79.03431855,924
79.85808485,-78.13600327,1269
79.85808485,-77.23768799,1519
79.85808485,-76.3393727,1205
79.85808485,-75.44105742,504
79.85808485,-74.54274213,57
79.85808485,-73.64442685,100
79.85808485,-72.74611156,766
79.85808485,-71.84779628,253
79.85808485,-70.949481,251
79.69867654,-98.7972548,2
79.69867654,-95.20399367,347
79.69867654,-94.30567838,6
79.69867654,-93.4073631,156
79.69867654,-92.50904782,516
79.69867654,-91.61073253,1185
79.69867654,-90.71241725,1300
79.69867654,-89.81410196,1157
79.69867654,-88.91578668,437
79.69867654,-88.01747139,345
79.69867654,-87.11915611,78
79.69867654,-85.32252554,100
79.69867654,-84.42421026,254
79.69867654,-83.52589497,348
79.69867654,-82.62757969,538
79.69867654,-80.83094912,359
79.69867654,-79.93263384,41
79.69867654,-79.03431855,141
79.69867654,-78.13600327,408
79.69867654,-77.23768799,518
79.69867654,-76.3393727,1058
79.69867654,-75.44105742,465
79.69867654,-74.54274213,1195
79.69867654,-73.64442685,926
79.69867654,-72.74611156,494
79.69867654,-71.84779628,2
79.53679017,-95.20399367,163
79.53679017,-94.30567838,428
79.53679017,-93.4073631,471
79.53679017,-92.50904782,891
79.53679017,-91.61073253,492
79.53679017,-90.71241725,938
79.53679017,-89.81410196,960
79.53679017,-88.91578668,676
79.53679017,-88.01747139,936
79.53679017,-87.11915611,173
79.53679017,-86.22084083,82
79.53679017,-84.42421026,109
79.53679017,-83.52589497,450
79.53679017,-82.62757969,661
79.53679017,-81.72926441,6
79.53679017,-80.83094912,7
79.53679017,-79.93263384,823
79.53679017,-79.03431855,1231
79.53679017,-78.13600327,1232
79.53679017,-77.23768799,469
79.53679017,-76.3393727,670
79.53679017,-75.44105742,817
79.53679017,-74.54274213,314
79.53679017,-73.64442685,409
79.37238852,-95.20399367,0
79.37238852,-92.50904782,190
79.37238852,-91.61073253,73
79.37238852,-90.71241725,480
79.37238852,-89.81410196,637
79.37238852,-88.91578668,1295
79.37238852,-88.01747139,417
79.37238852,-87.11915611,567
79.37238852,-86.22084083,102
79.37238852,-85.32252554,65
79.37238852,-84.42421026,3
79.37238852,-83.52589497,302
79.37238852,-82.62757969,900
79.37238852,-81.72926441,80
79.37238852,-80.83094912,365
79.37238852,-79.93263384,1178
79.37238852,-79.03431855,713
79.37238852,-78.13600327,202
79.37238852,-76.3393727,510
79.2054339,-105.0854618,43
79.2054339,-104.1871465,32
79.2054339,-103.2888312,18
79.2054339,-90.71241725,268
79.2054339,-89.81410196,598
79.2054339,-88.91578668,1473
79.2054339,-88.01747139,703
79.2054339,-87.11915611,755
79.2054339,-86.22084083,179
79.2054339,-85.32252554,20
79.2054339,-83.52589497,299
79.2054339,-82.62757969,611
79.2054339,-81.72926441,441
79.2054339,-80.83094912,589
79.2054339,-79.93263384,473
79.2054339,-79.03431855,527
79.2054339,-78.13600327,341
79.2054339,-77.23768799,386
79.2054339,-76.3393727,339
79.2054339,-75.44105742,522
79.2054339,-74.54274213,473
79.03588808,-105.0854618,4
79.03588808,-104.1871465,15
79.03588808,-103.2888312,60
79.03588808,-93.4073631,180
79.03588808,-92.50904782,347
79.03588808,-91.61073253,576
79.03588808,-90.71241725,969
79.03588808,-89.81410196,517
79.03588808,-88.91578668,1359
79.03588808,-88.01747139,231
79.03588808,-87.11915611,1027
79.03588808,-85.32252554,204
79.03588808,-84.42421026,200
79.03588808,-82.62757969,370
79.03588808,-81.72926441,4
79.03588808,-80.83094912,889
79.03588808,-79.93263384,1293
79.03588808,-79.03431855,199
79.03588808,-78.13600327,448
79.03588808,-74.54274213,449
78.86371237,-103.2888312,80
78.86371237,-102.3905159,19
78.86371237,-101.4922007,123
78.86371237,-93.4073631,28
78.86371237,-92.50904782,486
78.86371237,-91.61073253,1141
78.86371237,-90.71241725,1348
78.86371237,-89.81410196,1117
78.86371237,-88.91578668,836
78.86371237,-87.11915611,224
78.86371237,-85.32252554,399
78.86371237,-80.83094912,702
78.86371237,-79.93263384,1333
78.86371237,-79.03431855,1552
78.86371237,-78.13600327,55
78.86371237,-77.23768799,1595
78.86371237,-75.44105742,422
78.68886756,-110.4753535,18
78.68886756,-103.2888312,17
78.68886756,-102.3905159,214
78.68886756,-101.4922007,107
78.68886756,-100.5938854,76
78.68886756,-97.89893952,189
78.68886756,-97.00062424,51
78.68886756,-93.4073631,59
78.68886756,-92.50904782,273
78.68886756,-91.61073253,825
