Lat,Lon,isoP
83.02890317,-77.23768799,-30.377142652136264
83.02890317,-76.3393727,-29.59070589752248
83.02890317,-75.44105742,-31.570736112397675
83.02890317,-74.54274213,-30.175443277495205
83.02890317,-72.74611156,-29.891910493242655
83.02890317,-71.84779628,-29.319532838870852
83.02890317,-70.949481,-29.680876315094142
83.02890317,-70.05116571,-32.242240458210134
82.91902314,-79.93263384,-31.33432518776893
82.91902314,-76.3393727,-29.58192166864255
82.91902314,-75.44105742,-31.561951883517743
82.91902314,-74.54274213,-30.16665904861528
82.91902314,-72.74611156,-29.88312626436273
82.91902314,-71.84779628,-32.50226131695331
82.91902314,-70.05116571,-32.23345622933021
82.91902314,-69.15285043,-30.668179730778967
82.91902314,-68.25453514,-33.10504907839596
82.91902314,-67.35621986,-31.042586693412638
82.91902314,-66.45790458,-29.72940986043706
82.80742013,-80.83094912,-29.348943882159322
82.80742013,-79.93263384,-31.325403217293232
82.80742013,-79.03431855,-30.34378128111713
82.80742013,-78.13600327,-32.73221148230238
82.80742013,-77.23768799,-30.359436452780642
82.80742013,-76.3393727,-32.07858000202276
82.80742013,-75.44105742,-31.553029913042046
82.80742013,-74.54274213,-32.77860062731353
82.80742013,-73.64442685,-31.708363026859896
82.80742013,-72.74611156,-29.874204293887026
82.80742013,-71.84779628,-32.49333934647761
82.80742013,-70.949481,-34.06500647500768
82.80742013,-70.05116571,-32.22453425885451
82.80742013,-69.15285043,-30.659257760303277
82.80742013,-68.25453514,-33.09612710792025
82.80742013,-67.35621986,-31.033664722936944
82.80742013,-65.55958929,-33.526435176348016
82.80742013,-64.66127401,-31.74479249287136
82.80742013,-63.76295872,-29.984688533182094
82.69406754,-80.83094912,-29.339882043582346
82.69406754,-79.93263384,-31.316341378716267
82.69406754,-79.03431855,-30.334719442540163
82.69406754,-78.13600327,-32.723149643725414
82.69406754,-77.23768799,-31.16276994141547
82.69406754,-75.44105742,-31.543968074465077
82.69406754,-74.54274213,-32.76953878873657
82.69406754,-73.64442685,-31.699301188282927
82.69406754,-72.74611156,-33.69990091970745
82.69406754,-71.84779628,-32.48427750790065
82.69406754,-70.949481,-34.055944636430716
82.69406754,-70.05116571,-32.21547242027754
82.69406754,-69.15285043,-34.60842963376437
82.69406754,-68.25453514,-33.087065269343285
82.69406754,-66.45790458,-29.711426051384386
82.69406754,-65.55958929,-33.51737333777105
82.69406754,-64.66127401,-31.735730654294386
82.69406754,-63.76295872,-29.975626694605126
82.57893839,-81.72926441,-29.24601941771264
82.57893839,-79.93263384,-31.307137515153876
82.57893839,-79.03431855,-34.11865166546715
82.57893839,-78.13600327,-32.71394578016302
82.57893839,-77.23768799,-36.586415963786116
82.57893839,-76.3393727,-32.0603142998834
82.57893839,-75.44105742,-31.53476421090269
82.57893839,-74.54274213,-32.76033492517418
82.57893839,-73.64442685,-31.690097324720536
82.57893839,-72.74611156,-33.69069705614506
82.57893839,-71.84779628,-32.475073644338266
82.57893839,-70.949481,-34.046740772868326
82.57893839,-70.05116571,-36.99122813930726
82.57893839,-69.15285043,-34.59922577020198
82.57893839,-68.25453514,-33.0778614057809
82.57893839,-67.35621986,-31.01539902079758
82.57893839,-66.45790458,-34.32307445862514
82.57893839,-65.55958929,-33.50816947420867
82.57893839,-64.66127401,-31.726526790731995
82.57893839,-63.76295872,-32.75411967469388
82.46200533,-85.32252554,-28.915584511143837
82.46200533,-81.72926441,-30.519630215084877
82.46200533,-80.83094912,-31.969491982071567
82.46200533,-79.93263384,-31.297789440142694
82.46200533,-79.03431855,-34.10930359045598
82.46200533,-78.13600327,-32.70459770515185
