Lat,Lon,isoNet
83.02890317,-77.23768799,-29.426712688405797
83.02890317,-76.3393727,-29.147939065217386
83.02890317,-75.44105742,-29.225716471014493
83.02890317,-74.54274213,-29.03035083333333
83.02890317,-72.74611156,-28.753584376811595
83.02890317,-71.84779628,-28.92956425362319
83.02890317,-70.949481,-29.21864684057971
83.02890317,-70.05116571,-29.168464807971013
82.91902314,-79.93263384,-29.056554760869567
82.91902314,-76.3393727,-29.237742130434782
82.91902314,-75.44105742,-29.388498297101453
82.91902314,-74.54274213,-29.37934077173913
82.91902314,-72.74611156,-29.374941923913042
82.91902314,-71.84779628,-29.51499813405797
82.91902314,-70.05116571,-29.521582213768113
82.91902314,-69.15285043,-29.575569514492752
82.91902314,-68.25453514,-29.492220902173912
82.91902314,-67.35621986,-29.67082458695652
82.91902314,-66.45790458,-29.97169734057971
82.80742013,-80.83094912,-29.789358887681164
82.80742013,-79.93263384,-29.780634869565215
82.80742013,-79.03431855,-29.046882163043477
82.80742013,-78.13600327,-29.00765983333333
82.80742013,-77.23768799,-29.266863329710144
82.80742013,-76.3393727,-29.725132960144926
82.80742013,-75.44105742,-29.475482869565216
82.80742013,-74.54274213,-29.563873594202903
82.80742013,-73.64442685,-29.344425518115944
82.80742013,-72.74611156,-29.36677036594203
82.80742013,-71.84779628,-29.506930561594206
82.80742013,-70.949481,-29.533162097826086
82.80742013,-70.05116571,-29.53745613768116
82.80742013,-69.15285043,-29.549703905797102
82.80742013,-68.25453514,-29.402089467391303
82.80742013,-67.35621986,-29.449342760869566
82.80742013,-65.55958929,-29.470047670289862
82.80742013,-64.66127401,-29.994852028985513
82.80742013,-63.76295872,-29.288202137681157
82.69406754,-80.83094912,-29.086970195652178
82.69406754,-79.93263384,-29.30968672463768
82.69406754,-79.03431855,-29.690484416666667
82.69406754,-78.13600327,-29.10140133695652
82.69406754,-77.23768799,-29.39873962318841
82.69406754,-75.44105742,-29.364989391304352
82.69406754,-74.54274213,-29.395282931159425
82.69406754,-73.64442685,-29.368232557971016
82.69406754,-72.74611156,-29.356599826086956
82.69406754,-71.84779628,-29.524427079710147
82.69406754,-70.949481,-29.58493462681159
82.69406754,-70.05116571,-29.452485449275365
82.69406754,-69.15285043,-29.354469351449275
82.69406754,-68.25453514,-29.742204971014488
82.69406754,-66.45790458,-29.529253518115937
82.69406754,-65.55958929,-29.640939391304343
82.69406754,-64.66127401,-29.500801876811593
82.69406754,-63.76295872,-29.720548963768117
82.57893839,-81.72926441,-28.644760311594204
82.57893839,-79.93263384,-28.91245072101449
82.57893839,-79.03431855,-28.940855210144928
82.57893839,-78.13600327,-29.033096170289852
82.57893839,-77.23768799,-29.01212202536232
82.57893839,-76.3393727,-29.244462945652174
82.57893839,-75.44105742,-29.27603366304348
82.57893839,-74.54274213,-29.390834688405793
82.57893839,-73.64442685,-29.354785728260868
82.57893839,-72.74611156,-29.348305427536232
82.57893839,-71.84779628,-29.509516456521737
82.57893839,-70.949481,-28.885684681159425
82.57893839,-70.05116571,-29.609465028985507
82.57893839,-69.15285043,-30.110111336956518
82.57893839,-68.25453514,-29.550006394927536
82.57893839,-67.35621986,-29.454303144927536
82.57893839,-66.45790458,-29.720445800724637
82.57893839,-65.55958929,-29.705252130434783
82.57893839,-64.66127401,-29.357926597826086
82.57893839,-63.76295872,-29.40842284057971
82.46200533,-85.32252554,-29.61426118478261
82.46200533,-81.72926441,-29.22292149637681
82.46200533,-80.83094912,-29.701252362318844
82.46200533,-79.93263384,-29.280389054347825
