Station,Lat,Long,Alt,Date,O18Avg,H2avg,dex,Precipitation (kg/m^2/s),Temperature (K)
HAL,68.47,81.15,8.0,1990-08-02,-19.18,-169.5,-16.060000000000002,4.595506197802024e-06,281.8470764160156
RES,74.43,94.59,67.0,1990-08-02,-18.71,-139.6,10.080000000000013,1.8383219867246225e-05,278.0626220703125
CAM,69.6,105.8,27.0,1990-08-02,-20.87,-158.2,8.76000000000002,0.0,281.6549987792969
RES,74.43,94.59,67.0,1990-09-02,-22.93,-176.1,7.340000000000003,0.0,277.7288513183594
CAM,69.6,105.8,27.0,1990-09-02,-19.14,-147.7,5.420000000000016,0.0,276.3014831542969
HAL,68.47,81.15,8.0,1990-09-02,-18.01,-140.6,3.480000000000018,0.0,286.8579406738281
RES,74.43,94.59,67.0,1990-10-02,-23.02,-168.2,15.960000000000008,0.0,265.2103576660156
HAL,68.47,81.15,8.0,1990-10-02,-25.07,-189.8,10.759999999999991,3.6136028938926756e-05,273.51788330078125
CAM,69.6,105.8,27.0,1990-10-02,-25.71,-194.6,11.080000000000013,0.0,261.8283996582031
CAM,69.6,105.8,27.0,1990-11-02,-27.01,-200.7,15.380000000000024,0.0,263.0359802246094
RES,74.43,94.59,67.0,1990-11-02,-35.55,-269.6,14.799999999999955,3.88988119084388e-05,264.7362060546875
HAL,68.47,81.15,8.0,1990-11-02,-24.17,-188.7,4.660000000000025,4.01035176764708e-05,269.5706787109375
CAM,69.6,105.8,27.0,1990-12-02,-31.2,-240.8,8.799999999999983,0.0,235.0968475341797
RES,74.43,94.59,67.0,1990-12-02,-33.23,-252.4,13.43999999999997,0.0,241.08721923828125
HAL,68.47,81.15,8.0,1990-12-02,-30.51,-225.1,18.980000000000018,0.0,255.0723876953125
CAM,69.6,105.8,27.0,1991-01-02,-35.15,-274.4,6.800000000000011,7.566039585071849e-06,235.7828826904297
RES,74.43,94.59,67.0,1991-01-02,-35.71,-273.3,12.379999999999995,0.0,242.73866271972656
HAL,68.47,81.15,8.0,1991-01-02,-42.98,-341.1,2.7399999999999523,6.777115231670905e-06,244.93112182617188
RES,74.43,94.59,67.0,1991-02-02,-33.42,-262.8,4.560000000000002,6.732178917445708e-06,242.64027404785156
CAM,69.6,105.8,27.0,1991-02-02,-29.42,-226.1,9.26000000000002,0.0,239.1484375
HAL,68.47,81.15,8.0,1991-02-02,-31.26,-239.9,10.180000000000007,2.2192407413967885e-05,254.53823852539062
HAL,68.47,81.15,8.0,1991-03-02,-30.6,-231.41899999999995,13.381000000000057,0.0,240.31094360351562
CAM,69.6,105.8,27.0,1991-03-02,-30.45,-232.8,10.799999999999983,0.0,245.76170349121094
RES,74.43,94.59,67.0,1991-03-02,-29.56,-229.0,7.47999999999999,0.0,244.98226928710938
CAM,69.6,105.8,27.0,1991-04-02,-27.52,-207.9,12.259999999999991,0.0,243.97860717773438
RES,74.43,94.59,67.0,1991-04-02,-35.3,-275.1,7.2999999999999545,0.0,237.91641235351562
HAL,68.47,81.15,8.0,1991-04-02,-26.965999999999998,-203.58499999999998,12.143,3.423035013838671e-05,260.0516052246094
HAL,68.47,81.15,8.0,1991-05-02,-20.86,-148.49333333333334,18.386666666666656,2.788063466141466e-05,259.7968444824219
CAM,69.6,105.8,27.0,1991-05-02,-23.54,-177.4,10.919999999999987,0.0,255.82339477539062
RES,74.43,94.59,67.0,1991-05-02,-23.17,-178.7,6.660000000000025,0.0,252.82516479492188
HAL,68.47,81.15,8.0,1991-06-02,-17.91,-133.0,10.280000000000001,3.2776624721009284e-06,275.28857421875
RES,74.43,94.59,67.0,1991-06-02,-22.19,-166.9,10.620000000000005,0.0,272.47088623046875
CAM,69.6,105.8,27.0,1991-06-02,-17.21,-124.4,13.280000000000001,0.0,275.8506164550781
HAL,68.47,81.15,8.0,1991-07-02,-15.31,-117.3,5.180000000000007,4.32728738815058e-05,282.2511291503906
CAM,69.6,105.8,27.0,1991-07-02,-20.45,-151.0,12.599999999999994,3.4982924262294546e-05,284.25616455078125
RES,74.43,94.59,67.0,1991-07-02,-17.89,-135.2,7.920000000000016,4.72269493911881e-05,276.2894287109375
RES,74.43,94.59,67.0,1991-08-02,-19.71,-145.8,11.879999999999995,1.8911441657110117e-05,283.9977111816406
CAM,69.6,105.8,27.0,1991-08-02,-21.29,-160.6,9.719999999999999,0.0,288.2076416015625
HAL,68.47,81.15,8.0,1991-08-02,-17.31,-130.9,7.579999999999984,3.8009140553185716e-05,292.5991516113281
CAM,69.6,105.8,27.0,1991-09-02,-21.27,-158.0,12.159999999999997,0.0,279.11517333984375
RES,74.43,94.59,67.0,1991-09-02,-20.82,-157.1,9.460000000000008,0.0,278.5067443847656
HAL,68.47,81.15,8.0,1991-09-02,-17.42,-136.0,3.3600000000000136,0.0,283.4022216796875
CAM,69.6,105.8,27.0,1991-10-02,-25.26,-185.9,16.180000000000007,0.0,264.0784912109375
RES,74.43,94.59,67.0,1991-10-02,-23.48,-165.0,22.840000000000003,0.0,263.63739013671875
HAL,68.47,81.15,8.0,1991-10-02,-29.13,-223.3,9.73999999999998,2.5935614758054726e-05,271.50341796875
RES,74.43,94.59,67.0,1991-11-02,-32.31,-242.8,15.680000000000007,5.044612862548092e-06,258.6510314941406
HAL,68.47,81.15,8.0,1991-11-02,-24.13,-180.7,12.340000000000003,1.823615821194835e-05,266.894287109375
CAM,69.6,105.8,27.0,1991-11-02,-33.65,-258.1,11.099999999999966,2.4285262043122202e-05,261.3684387207031
CAM,69.6,105.8,27.0,1991-12-02,-31.3,-238.8,11.599999999999994,0.0,241.39846801757812
RES,74.43,94.59,67.0,1991-12-02,-30.79,-238.1,8.219999999999999,0.0,241.69534301757812
HAL,68.47,81.15,8.0,1991-12-02,-33.62,-252.6,16.359999999999985,0.0,242.00355529785156
HAL,68.47,81.15,8.0,1992-01-02,-32.56,-250.6,9.880000000000024,5.9244125623081345e-06,253.4654083251953
CAM,69.6,105.8,27.0,1992-01-02,-32.78,-255.4,6.840000000000003,0.0,243.4506378173828
RES,74.43,94.59,67.0,1992-01-02,-42.32,-313.2,25.360000000000014,0.0,248.9691619873047
CAM,69.6,105.8,27.0,1992-02-02,-30.01,-231.5,8.580000000000013,0.0,224.65187072753906
RES,74.43,94.59,67.0,1992-02-02,-36.11,-280.0,8.879999999999995,0.0,229.80760192871094
HAL,68.47,81.15,8.0,1992-02-02,-33.38,-258.7,8.340000000000032,7.833490963093936e-05,260.9132080078125
RES,74.43,94.59,67.0,1992-03-02,-31.57,-251.6,0.960000000000008,1.770438757375814e-05,261.50616455078125
HAL,68.47,81.15,8.0,1992-03-02,-26.61,-209.5,3.3799999999999955,2.1563046175288036e-05,264.1842346191406
CAM,69.6,105.8,27.0,1992-03-02,-26.42,-201.5,9.860000000000014,1.2368201169010717e-05,257.5666809082031
CAM,69.6,105.8,27.0,1992-04-02,-27.49,-208.4,11.519999999999982,0.0,242.53457641601562
HAL,68.47,81.15,8.0,1992-04-02,-26.965999999999998,-203.58499999999998,12.143,2.9548823476943653e-06,259.8118896484375
RES,74.43,94.59,67.0,1992-04-02,-30.959444444444443,-236.3422222222222,11.333333333333343,0.0,240.47833251953125
CAM,69.6,105.8,27.0,1992-05-02,-25.12,-195.4,5.560000000000002,2.0813864466617815e-05,260.0318298339844
HAL,68.47,81.15,8.0,1992-05-02,-20.035,-148.49333333333334,11.786666666666662,3.250794907216914e-05,269.26025390625
RES,74.43,94.59,67.0,1992-05-02,-28.06,-250.8,-26.32000000000002,2.4932352971518412e-05,262.1873474121094
HAL,68.47,81.15,8.0,1992-06-02,-21.89,-164.5,10.620000000000005,4.619185801857384e-06,274.6564636230469
CAM,69.6,105.8,27.0,1992-06-02,-22.55,-173.6,6.800000000000011,0.0,267.989013671875
RES,74.43,94.59,67.0,1992-06-02,-24.17,-191.4,1.960000000000008,0.0,263.59320068359375
CAM,69.6,105.8,27.0,1992-07-02,-22.23,-171.0,6.840000000000003,1.1199329492228571e-05,290.63934326171875
RES,74.43,94.59,67.0,1992-07-02,-19.66,-150.4,6.8799999999999955,0.0,281.9161682128906
HAL,68.47,81.15,8.0,1992-07-02,-16.8,-126.1,8.300000000000011,0.0,293.844482421875
HAL,68.47,81.15,8.0,1992-08-02,-16.73,-132.1,1.740000000000009,0.0,280.04925537109375
CAM,69.6,105.8,27.0,1992-08-02,-15.93,-130.3,-2.8600000000000136,1.3430997569230385e-05,274.9206237792969
RES,74.43,94.59,67.0,1992-08-02,-17.27,-134.6,3.5600000000000023,0.0,273.8083801269531
RES,74.43,94.59,67.0,1992-09-02,-23.56,-166.4,22.079999999999984,0.0,277.4140930175781
CAM,69.6,105.8,27.0,1992-09-02,-23.58,-173.2,15.439999999999998,0.0,276.0359191894531
HAL,68.47,81.15,8.0,1992-09-02,-18.0,-133.2,10.800000000000011,0.0,280.7644958496094
RES,74.43,94.59,67.0,1992-10-02,-23.6,-177.4,11.400000000000006,6.147613021312281e-05,271.3158264160156
