Lat,Lon,Month,Year,isoP
46.29,-64.15,7,2004,-5.822542015
46.29,-64.15,8,2004,-7.290405762
46.29,-64.15,9,2004,-7.977970682
46.29,-64.15,10,2004,-8.308501983
46.29,-64.15,11,2004,-10.58585904
46.29,-64.15,12,2004,-12.69379547
46.29,-64.15,1,2005,-14.80272583
46.29,-64.15,2,2005,-15.05144967
46.29,-64.15,3,2005,-12.66517515
46.29,-64.15,4,2005,-10.78093139
46.29,-64.15,5,2005,-8.823365849
46.29,-64.15,6,2005,-7.031088584
46.29,-64.15,7,2005,-7.519132937
46.29,-64.15,8,2005,-7.449400784
46.29,-64.15,9,2005,-7.944603062
46.29,-64.15,10,2005,-7.623619632
46.29,-64.15,11,2005,-8.7049701
46.29,-64.15,12,2005,-11.72500995
46.29,-64.15,1,2006,-12.52968107
46.29,-64.15,2,2006,-13.01137721
46.29,-64.15,3,2006,-8.244896402
46.29,-64.15,4,2006,-11.28196642
46.29,-64.15,5,2006,-8.66375635
46.29,-64.15,6,2006,-6.270763284
46.29,-64.15,7,2006,-6.807708662
46.29,-64.15,8,2006,-8.588301443
46.29,-64.15,9,2006,-7.084140448
46.29,-64.15,10,2006,-8.673500899
46.29,-64.15,11,2006,-8.602301029
46.29,-64.15,12,2006,-10.98742232
46.29,-64.15,1,2007,-12.17619687
46.29,-64.15,2,2007,-15.75024636
46.29,-64.15,3,2007,-10.57674298
46.29,-64.15,4,2007,-13.83489441
46.29,-64.15,5,2007,-10.0624033
46.29,-64.15,6,2007,-7.023664052
46.29,-64.15,7,2007,-7.115268341
46.29,-64.15,8,2007,-7.456667175
46.29,-64.15,9,2007,-7.533300213
46.29,-64.15,10,2007,-7.475016072
46.29,-64.15,11,2007,-10.11383885
46.29,-64.15,12,2007,-14.36529978
79.59,-85.56,1,2003,-35.35298951
79.59,-85.56,2,2003,-36.16151716
79.59,-85.56,3,2003,-36.33497473
79.59,-85.56,4,2003,-34.32728755
79.59,-85.56,5,2003,-27.3587658
79.59,-85.56,6,2003,-21.35973079
79.59,-85.56,7,2003,-21.61593258
79.59,-85.56,8,2003,-23.31798416
79.59,-85.56,9,2003,-25.1492942
79.59,-85.56,10,2003,-27.65589968
79.59,-85.56,11,2003,-34.35177189
79.59,-85.56,12,2003,-33.08899985
79.59,-85.56,1,2004,-36.99388037
79.59,-85.56,2,2004,-35.42868751
79.59,-85.56,3,2004,-41.3480478
79.59,-85.56,4,2004,-32.3876204
79.59,-85.56,5,2004,-27.56848345
79.59,-85.56,6,2004,-21.55771671
79.59,-85.56,7,2004,-20.59876054
79.59,-85.56,8,2004,-20.5358624
79.59,-85.56,9,2004,-26.53670412
79.59,-85.56,10,2004,-29.08881551
79.59,-85.56,11,2004,-35.67036942
79.59,-85.56,12,2004,-39.25757032
79.59,-85.56,1,2005,-35.29706234
79.59,-85.56,2,2005,-33.95882361
79.59,-85.56,3,2005,-32.32788983
79.59,-85.56,4,2005,-33.91773899
79.59,-85.56,5,2005,-24.84164359
79.59,-85.56,6,2005,-20.65097398
79.59,-85.56,7,2005,-17.28356415
79.59,-85.56,8,2005,-19.67209042
79.59,-85.56,9,2005,-25.47221251
79.59,-85.56,10,2005,-29.92825309
79.59,-85.56,11,2005,-32.63864792
79.59,-85.56,12,2005,-33.94925151
79.59,-85.56,1,2006,-36.0301402
79.59,-85.56,2,2006,-33.00466605
79.59,-85.56,3,2006,-31.12101049
79.59,-85.56,4,2006,-31.36412271
79.59,-85.56,5,2006,-25.47092721
79.59,-85.56,6,2006,-22.88979592
79.59,-85.56,7,2006,-18.83028238
79.59,-85.56,8,2006,-19.79339003
79.59,-85.56,9,2006,-22.05043326
79.59,-85.56,10,2006,-26.26134715
79.59,-85.56,11,2006,-34.53312718
79.59,-85.56,12,2006,-35.25232279
79.59,-85.56,1,2007,-35.99495114
79.59,-85.56,2,2007,-32.04520016
79.59,-85.56,3,2007,-38.8768028
79.59,-85.56,4,2007,-32.27549689
79.59,-85.56,5,2007,-30.53878518
79.59,-85.56,6,2007,-21.8210094
79.59,-85.56,7,2007,-19.11280407
79.59,-85.56,8,2007,-18.6313684
79.59,-85.56,9,2007,-24.73139473
79.59,-85.56,10,2007,-30.54840647
79.59,-85.56,11,2007,-35.70797749
79.59,-85.56,12,2007,-32.94872111
45.32,-75.67,1,2003,-20.21869437
45.32,-75.67,2,2003,-17.42891549
45.32,-75.67,3,2003,-15.54759109
45.32,-75.67,4,2003,-13.65788181
45.32,-75.67,5,2003,-10.29722259
45.32,-75.67,6,2003,-7.792441962
45.32,-75.67,7,2003,-7.322900535
45.32,-75.67,8,2003,-6.877286498
45.32,-75.67,9,2003,-9.262132239
