Station,RMSE_isoNet,RMSE_isoP,KGE_isoNet,KGE_isoP
ALR,4.8086725934834735,4.669464191929295,0.531651200904202,0.7097010377641612
BAB,2.6630855129291073,2.6522995669955556,0.6683955730659219,0.5255694506398398
BON,3.329882220854792,3.3679991532698024,0.7097958001847258,0.7576455859175724
CAM,3.1787507542750886,3.0597120076332835,0.6947910575604868,0.8634017793304994
CPA,3.0434219483640574,2.248998830835214,0.8144371696520745,0.791173265407185
ELA,3.318935605485981,3.4981923766563363,0.7163547895991786,0.7813310170687574
EUR,5.029577777990123,4.468797354738278,0.5575555438409933,0.7652618796211244
GOB,2.4334602897603226,2.0237377227866244,0.8302435039810365,0.8433116837256687
HAB,3.585049784084225,3.044395889547447,0.5037360969728091,0.5661713383228273
OTT,3.12473087071411,2.2482500020310967,0.5956243939528778,0.8012329230135422
SAT,2.542151763164874,1.8713040120815725,0.5733228890924635,0.6284079054683067
SNA,6.358198983450094,6.741203986557206,-0.3714619551848337,-0.23020752098759312
